Date,Shift,Operator,OutputUnits,Defects,DowntimeHrs
2025-07-01,Day,OP_08,118,2,0.91
2025-07-01,Day,OP_11,88,1,0.04
2025-07-01,Day,OP_03,84,1,1.87
2025-07-01,Day,OP_20,107,2,0.08
2025-07-01,Day,OP_19,81,1,1.09
2025-07-01,Day,OP_07,92,0,0.41
2025-07-01,Day,OP_12,110,1,0.6
2025-07-01,Day,OP_22,106,1,0.26
2025-07-01,Day,OP_01,114,0,1.07
2025-07-01,Day,OP_16,90,0,1.92
2025-07-01,Day,OP_24,107,0,1.08
2025-07-01,Day,OP_05,107,3,1.1
2025-07-01,Day,OP_23,113,3,0.96
2025-07-01,Day,OP_21,109,0,0.92
2025-07-01,Day,OP_14,103,1,0.4
2025-07-01,Day,OP_06,111,3,1.84
2025-07-01,Day,OP_15,82,3,1.27
2025-07-01,Day,OP_10,97,0,0.66
2025-07-01,Day,OP_25,101,0,0.21
2025-07-01,Day,OP_17,97,2,1.84
2025-07-01,Evening,OP_16,86,0,0.28
2025-07-01,Evening,OP_19,110,3,0.05
2025-07-01,Evening,OP_23,89,0,0.54
2025-07-01,Evening,OP_11,84,3,0.68
2025-07-01,Evening,OP_03,115,3,0.8
2025-07-01,Evening,OP_22,119,3,1.18
2025-07-01,Evening,OP_09,95,2,1.42
2025-07-01,Evening,OP_20,84,1,0.91
2025-07-01,Evening,OP_04,107,1,1.37
2025-07-01,Evening,OP_05,83,1,0.89
2025-07-01,Evening,OP_02,84,2,1.05
2025-07-01,Evening,OP_06,89,3,1.92
2025-07-01,Evening,OP_13,103,3,1.91
2025-07-01,Evening,OP_10,99,1,0.17
2025-07-01,Evening,OP_07,95,2,1.24
2025-07-01,Evening,OP_18,107,1,0.54
2025-07-01,Evening,OP_12,104,2,0.42
2025-07-01,Evening,OP_25,111,0,0.76
2025-07-01,Evening,OP_24,91,3,0.83
2025-07-01,Evening,OP_21,90,3,0.78
2025-07-01,Night,OP_17,95,2,0.07
2025-07-01,Night,OP_08,90,4,0.47
2025-07-01,Night,OP_18,89,4,0.18
2025-07-01,Night,OP_01,61,5,1.3
2025-07-01,Night,OP_09,92,6,1.25
2025-07-01,Night,OP_13,66,2,0.25
2025-07-01,Night,OP_14,70,3,0.85
2025-07-01,Night,OP_15,87,6,1.59
2025-07-01,Night,OP_25,92,4,0.34
2025-07-01,Night,OP_22,82,6,0.07
2025-07-01,Night,OP_06,100,4,0.93
2025-07-01,Night,OP_21,82,5,0.75
2025-07-01,Night,OP_07,85,3,0.83
2025-07-01,Night,OP_20,99,2,0.55
